product,role,_mgurl,year,mAin,mBin,mXin,mTBDin,mAout,mBout,mXout,mTBDout,musb,mdin,notes
Product,Role,,Year,A IN,B IN,X IN,? IN,A OUT,B OUT,X OUT,? OUT,USB,DIN,Notes
LPZW.modules WK3 MIDI Thru,utility,https://modulargrid.net/e/lpzw-modules-wk3-midi-thru,2017,,,1,,,,5,,,,TRS input is autodetect; each TRS output has a physical type switch
Malekko SYNC,utility,https://modulargrid.net/e/malekko-heavy-industry-sync,2017,,1,,,,1,,,,,MIDI clock extractor
Manikk Otto MIDI,utility,https://modulargrid.net/e/manikk-otto-midi,2020,1,,,,4,,,,,,TRS MIDI Thru
Michigan Synth Works USB2MIDI,utility,https://modulargrid.net/e/michigan-synth-works-usb2midi-5-port-trs-midi-output,2022,,,,,5,,,,A,,USB MIDI to 5X TRS TYPE A
Modbap Trinity,voice,https://www.modulargrid.net/e/modbap-modular-trinity,2022,,,,,,,,,C,,
MOK Waverazor Dual Oscillator,voice,https://www.modulargrid.net/e/1010-music-mok-waverazor-dual-oscillator,2019,,1,,,,,,,,,
Nanopolis Antigone,voice,https://www.modulargrid.net/e/other-unknown-nanopolis-antigone,2023,,,,1,,,,,,,via expander
Neutron Sound Dust of Time,voice,https://www.modulargrid.net/e/neutron-sound-dust-of-time-,2020,,,1,,,,,,,,
Neuzeit Warp,voice,https://www.modulargrid.net/e/neuzeit-instruments-warp,2023,,1,,,,,,,,,
Oxi Instruments Coral,voice,https://www.modulargrid.net/e/oxi-instruments-coral,2023,,,1,,,,,,,,
Pittsburgh Modular Lifeforms SV-1,voice,https://www.modulargrid.net/e/pittsburgh-modular-lifeforms-sv-1,2016,,1,,,,,,,,,
Poly Effects Hector,effects,https://www.modulargrid.net/e/poly-effects-hector,2021,1,,,,1,,,,,,
Rebel Tech Magus,voice;effects,https://modulargrid.net/e/rebel-technology-magus,2018,,1,,,,1,,,,,requires expander
Rossum Electro Music Assimil8or,voice,https://www.modulargrid.net/e/rossum-electro-music-locutus,2023,,,,,,,,,,1,requires Locutus expander
RYK Modular M185,sequencer,https://www.modulargrid.net/e/ryk-modular-m185-sequencer,2020,,,1,,,,1,,,,
RYK Night Rider,filter,https://www.modulargrid.net/e/ryk-modular-night-rider,2023,,,1,,,,,,,,
RYK Vector Wave,voice,https://www.modulargrid.net/e/ryk-modular-vector-wave,2022,,,1,,,,,,,,
SDS Accord Melisma,sequencer,https://modulargrid.net/e/sds-digital-accord-melisma,2019,,,,,1,,,,,,CV-to-MIDI chord and melody generator
SDS VCO,voice,https://modulargrid.net/e/sds-digital-sds-vco,2017,,,1,,,,,,,,requires additional add-on; TRS type user switchable
Sleepy Circuits Hypno,video,https://www.modulargrid.net/e/sleepy-circuits-hypno,2020,,,,,,,,,A,,
SoundForce DCO,voice,https://www.modulargrid.net/e/soundforce-udco,2021,,,1,,,,,,,,
SoundForce uDCO,voice,https://www.modulargrid.net/e/soundforce-dco-grey-2021,2022,,,1,,,,,,,,
Squarp Hermod+,sequencer,https://www.modulargrid.net/e/squarp-instruments-hermod-,2023,,,1,,,,1,,,,
Squarp Rample,voice,https://www.modulargrid.net/e/squarp-instruments-rample,2020,1,,,,,,,,,,
Supercritical Demon Core Oscillator,voice,https://www.modulargrid.net/e/supercritical-synthesizers-16-voice-demon-core-oscillator,2019,,,1,,,,,,,,via Demon Core xpander; TRS input auto-detect; TRS output user-selectable
Tesseract Modular Tukra,sequencer,https://www.modulargrid.net/e/tesseract-modular-tukra,2020,,,1,,,,1,,,,
Tesseract Sweet Sixteen,utility,https://modulargrid.net/e/tesseract-modular-sweet-sixteen,2019,,,,,,,1,,B,,MIDI controller; CV-to-MIDI converter; TRS type is jumper-controlled
Tesseract Sweet Sixteen Mk2,utility,https://modulargrid.net/e/tesseract-modular-sweet-sixteen-mk-ii,2020,,,,,,,1,,B,,MIDI controller; CV-to-MIDI converter; TRS type is jumper-controlled
The Centre,voice,https://www.modulargrid.net/e/1v-oct-the-centre,2021,,,,1,,,,,,,
TiNRS Bopp & Steve,effects,https://www.modulargrid.net/e/this-is-not-rocket-science-bopp-steve,2023,,,1,,,,,,,,
Tiptop Octopus,utility,https://modulargrid.net/e/tiptop-audio-octopus,2023,,,,,,,,,B,1,MIDI-to-ART converter
Tubbutec 6equencer,sequencer,https://www.modulargrid.net/e/tubbutec-6equencer-3u,2021,,,,,1,,,,,,
Tubbutec/LPZW.modules 6m0d6,voice,https://modulargrid.net/e/tubbutec-6m0d6,2021,,,1,,,,,,,,
Tubbutec TRS-bridge,utility,https://modulargrid.net/e/tubbutec-trs-bridge,2023,,,4,,,,4,,,,route/split/merge TRS midi streams
Tubbutec USB-bridge A,utility,https://modulargrid.net/e/tubbutec-usb-bridge-a,2020,1,,,,1,,,,A,,route/merge MIDI data between two USB devices and one TRS device
vpme.de trig31,utility,https://modulargrid.net/e/vpme-de-trig31,2018,,,,,,1,,,,,trigger-to-MIDI converter
Warped Circuits Threshold,voice,https://www.modulargrid.net/e/warped-circuits-threshold,2020,,,1,,,,,,,,
Westlicht Per|Former,sequencer,https://www.modulargrid.net/e/westlicht-per-former--,2019,1,,,,1,,,,,,
XOR Nerdseq,sequencer; voice,https://www.modulargrid.net/e/xor-electronics-nerdseq,2016,1,,,,1,,,,,1,requires expander
XOXO Modular MIDIXO,utility,https://modulargrid.net/e/xoxo-modular-midixo-aluminum-panel,2019,,,1,,,,1,,,,TRS type converter (jumper-configured); Expert Sleepers-compatible MIDI breakout
Zetaohm FLXS1,sequencer,https://www.modulargrid.net/e/zetaohm-flxs1,2017,1,,,,1,,,,,,
Ziqal Dimension,voice,https://www.modulargrid.net/e/ziqal-dimension-mk3,2021,1,,,,,,,,,,
ZOIA Euroburo,effects,https://www.modulargrid.net/e/empress-effects-zoia-euroburo,2020,1,,,,1,,,,,,
